A97-1020.pdf,This paper presents a new approach to automatic language learning that is based on natural language processing techniques.,0,This paper presents a new approach for automatic language learning.,0,This paper presents a new approach for automatic language learning.,0,
,"We show that suffix analysis is not helpful on the treebank grammar, but it does increase performance if used in combination with the treebank transformations we present.",1,"We show that suffix analysis is not helpful on the treebank grammar, but it does increase performance if used in combination with the treebank transformations we present.",1,The authors show that the resulting parser is able to achieve state-of-the-art results in German.,1,
,"We use three different approaches to improve the performance of unlexicalized German parsing, allowing us to compare the relative performance of each.",1,"We use three different approaches to improve the performance of unlexicalized German parsing, allowing us to compare the relative performance of each.",1,The authors also provide a comparison with other unlexicalized models.,0,
,We use a treebank transformation to extract a grammatical function from the grammatical functions of the two NPs above.,0,We use a treebank transformation to extract a grammatical function from the grammatical functions of the two NPs above.,0,The authors also show that the derived parser is more accurate than the derived parses.,0,
,We present a parser for German that achieves the highest performance known to us by making use of smoothing and a highly-tuned suffix analyzer for guessing part-of-speech tags from the input text.,1,We present a parser for German that achieves the highest performance known to us by making use of smoothing and a highly-tuned suffix analyzer for guessing part-of-speech tags from the input text.,1,This paper presents a new unlexicalized parsing model for German.,1,
,We also use treebank transformations instead of a grammar induced directly from a treebank.,1,We also use treebank transformations instead of a grammar induced directly from a treebank.,1,"The model is based on a treebank transformation, which is a grammatical function of the underlying word order.",0,
,"We show that suffix analysis is not helpful on the treebank grammar, but it does increase performance if used in combination with the treebank transformations we present.",1,"We show that suffix analysis is not helpful on the treebank grammar, but it does increase performance if used in combination with the treebank transformations we present.",1,The authors show that the resulting parser is able to achieve state-of-the-art results in German.,1,
,"We use three different approaches to improve the performance of unlexicalized parsing, allowing us to compare the relative performance of each.",1,"We use three different approaches to improve the performance of unlexicalized parsing, allowing us to compare the relative performance of each.",1,The authors also provide a comparison with other unlexicalized models.,0,
,"We use a treebank transformation to extract a grammatical function from the input text, and use it to extract a dependency function from the input.",0,We use a treebank transformation to extract a grammatical function from the grammatical functions of the two NPs above.,0,The authors also show that the derived parser is more accurate than the derived parses.,0,
P05-1046.pdf,"In this paper, we investigate unsupervised learning of field segmentation models in two domains: bibliographic citations and classified advertisements for apartment rentals.",1,"In this paper, we investigate unsupervised learning of field segmentation models in two domains: bibliographic citations and classified advertisements for apartment rentals.",1,This paper investigates unsupervised learning of field segmentation models in two domains: bibliographic citations and classified advertisements for apartment rentals.,1,
,"We find that unsupervised methods can attain accuracies with 400 unlabeled examples comparable to those attained by supervised methods on 50 labeled examples, and that semi-supervised methods can make good use of small amounts of labeled data.",1,"We find that unsupervised methods can attain accuracies with 400 unlabeled examples comparable to those attained by supervised methods on 50 labeled examples, and that semi-supervised methods can make good use of small amounts of labeled data.",1,"The authors show that unsupervised methods can achieve accuracies comparable to those achieved by supervised methods on 50 labeled examples, and that semi-supervised methods can make good use of small amounts of labeled data.",0,
,"In both domains, we find that unsupervised approaches can attain accuracy with 400 unlabelled examples comparable to the ones attained by a supervised method on 50 labeleted examples, and that Semi-supervised methods can be good use of small quantities of labeled examples.",1,"In both domains, we find that unsupervised approaches can attain accuracy with 400 unlabelled examples comparable to the ones attained by a supervised method on 50 labeleted examples, and that Semi-supervised methods can be good use of small quantities of labeled examples.",1,The authors also show that semi-supervised approaches can make good use for small amounts of label data.,1,
,"We propose a novel unsupervised method for field segmentation, which is based on a hidden Markov model.",1,"We propose a novel unsupervised method for field segmentation, which is based on a hidden Markov model.",1,,,
,"In this paper, we investigate unsupervised learning of field segmentation models in two domains: bibliographic citations and classified advertisements for apartment rentals.",1,This paper investigates unsupervised learning of field segmentation models in two domains: bibliographic citations and classified advertisements for apartment rentals.,1,This paper investigates unsupervised learning of field segmentation models in two domains: bibliographic citations and classified advertisements for apartment rentals.,1,
,"We find that unsupervised methods can attain accuracies with 400 unlabeled examples comparable to those achieved by supervised methods on 50 labeled examples, and that semi-supervised methods can make good use of small amounts of labeled data.",1,"In both domains, we find that unsupervised methods can attain accuracies comparable to those achieved by supervised methods on 50 labeled examples, and that semi-supervised methods can make good use of small amounts of labeled data.",0,"The authors show that unsupervised methods can achieve accuracies comparable to those achieved by supervised methods on 50 labeled examples, and that semi-supervised methods can make good use of small amounts of labeled data.",0,
,"In both domains, we find that unsupervised approaches can attain accuracy with 400 unlabelled examples comparable to the ones attained by supervised methods.",0,"In both domain, we find that small amounts of prior knowledge can be used to greatly improve the learned model.",1,The authors also show that semi-supervised approaches can make good use for small amounts of label data.,1,
,"In both domain, we find that small amounts of prior knowledge can be used to greatly improve the learned model.",1,"In both domain settings, we find that unseen fields present a salient form of linguistic structure, and that unsupervised methods are able to attain accuraces with 400 unlabeled examples comparable to those achieved using supervised methods on 50% labeled examples.",1,,,
,In both domain we find that unconstrained induction of HMMs using the EM algorithm fails to detect useful field structure in either domain.,1,"We propose a novel unsupervised learning method for field segmentation, which is based on a supervised learning approach.",0,,,
,"However, we demonstrate that small amounts of knowledge can be used for greatly improving the learned model.",1,,,,,
,We use a supervised HMM to learn a supervised model for a document that is regarded as a sequence of relevant fields.,0,,,,,
P05-1056.pdf,"This paper presents a new model for sentence boundary detection, based on a maximum entropy (Maxent) posterior classification method.",0,This paper presents a new model for sentence boundary detection.,1,This paper proposes a novel approach to segmentation of sentences.,1,
,The model is based on generative modeling of the hidden variables of the HMM system.,0,The model is based on a maximum entropy (Maxent) posterior classification method.,0,The proposed approach is based on a maximum entropy (Maxent) posterior classification method.,0,
,"The model is trained using a decision tree classifier, and the model is trained using the supervised learning of the transition probabilities.",0,The model is trained using a generative model that is based on the N-gram language model.,0,The authors propose to use a generative model to model the underlying structure of the sentence boundary.,0,
,"The model is evaluated on the task of sentence boundary detection, and the results show that the proposed model outperforms the baselines.",1,"The model is evaluated on a set of tasks, including sentence boundary detection, tagging, and summarization.",0,The authors show that the proposed approach can achieve better performance than the baselines.,1,
,We propose a new model that uses a maximum entangled generative model to model the hidden variables of a sentence boundary.,0,The model is shown to outperform the baselines.,1,The authors also show that the proposed method can achieve better performance compared to the baselines.,1,
,This paper presents a novel approach to sentence boundary detection.,1,This paper presents a novel approach to sentence boundary detection.,1,This paper proposes a novel approach to segmentation of sentences.,1,
,The approach is based on a maximum entropy (Maxent) posterior classification method.,0,The approach is based on a maximum entropy (Maxent) posterior classification method.,0,The proposed approach is based on a maximum entropy (Maxent) posterior classification method.,0,
,"The approach is evaluated on a set of datasets, including a tagging task, a speech prosody task, and a tying task.",0,"The approach is evaluated on a set of datasets, and the results show that the proposed approach outperforms the baselines.",1,The authors propose to use a generative model to model the underlying structure of the sentence boundary.,0,
,The approach is tested on a set containing a large number of words and a large number tagged sentences.,0,"The approach is also evaluated on a number of datasets, including a digit-based dataset, a digit based dataset, and a digit graph dataset.",0,The authors show that the proposed approach can achieve better performance than the baselines.,1,
,The approach is shown to outperform the baselines.,1,,,The authors also show that the proposed method can achieve better performance compared to the baselines.,1,
,We present a method for detecting the boundary position of a sentence in a sentence.,0,,,,,
2020.acl-main.703.pdf,This paper presents a new self-supervised method for machine translation.,1,This paper presents a new self-supervised method for machine translation.,1,"This paper proposes a new model for machine translation, which is a combination of bidirectional and auto-regressive transformers.",1,
,BART is a sequence-to-sequence model that is applicable to a wide range of end tasks.,1,"The method is based on a bidirectional encoder, which is trained to predict the next sentence.",1,The model is trained using a bidirectional encoder and a bidirectional decoder.,0,
,"BART uses a standard Tranformer-based neural machine translation architecture which combines bidirectional encoder, GPT, and many other recent pretraining schemes.",1,"The encoder is trained to predict a mask token, and the decoder is trained to generate the next sentence.",0,The model is then trained using a sequence-to-sequence model.,1,
,The BART model is a combination of bidirectional encoder and auto-regressive transformers.,1,"This method is evaluated on a range of tasks, including abstractive dialogue, question answering, and summarization.",1,"The model is evaluated on GLUE, SQuAD, and SQuAD.",1,
,The BART encoder is a bidirectional encoder that is trained to predict the next sentence.,1,"The method is evaluated on three tasks: abstractive dialogue, Question Answering, and summarizing.",1,,,
,"The BART outputs are a sequence of arbitrary transformations of the original text, including shuffling the order of the original sentences and using a novel in-filling scheme.",0,The results show that the proposed method is competitive with other self-supervised methods.,1,,,
,BART is particularly effective when fine tuned for text generation but also works well for comprehension tasks.,1,,,,,
,"It matches the performance of RoBERTa with comparable training resources on GLUE and SQuAD, and achieves new state-of-the-art results on a range of abstractive dialogue, question answering, and summarization tasks.",1,,,,,
,"We propose a new self supervised method for machine Translation, which pre-trains a BART encoder with a sequence- to sequence model that is trained to reconstruct the original text.",1,,,,,
,"This paper presents BART, a new method for pre-training a sequence-to-sequence model that is applicable to a wide range of end tasks.",1,"This paper presents BART, a new method for pre-training a sequence-to-sequence model that is applicable to a wide range of end tasks.",1,"This paper proposes a new model for machine translation, which is a combination of bidirectional and auto-regressive transformers.",1,
,BART is a sequence-based auto-regressive model that is applicable for a very wide range of end-tasks.,1,BART is a sequence-based auto-regressive model that is applicable for a very wide range of end-tasks.,1,The model is trained using a bidirectional encoder and a bidirectional decoder.,0,
,"Pretraining has two stages: text is corrupted with an arbitrary noising function, and a sequence- to-sequencing model is learned to reconstruct the original text.",1,"BART uses a standard Tranformer-based neural machine translation architecture which despite its simplicity, can be seen as generalizing BERT.",1,The model is then trained using a sequence-to-sequence model.,1,
,BART is particularly effective when fine tuned for text generation but also works well for comprehension tasks.,1,"The key advantage of this setup is the noising flexibility; arbitrary transformations can be applied to the original text, including changing its length.",1,"The model is evaluated on GLUE, SQuAD, and SQuAD.",1,
,"It matches the performance of RoBERTa with comparable training resources on GLUE and SQuAD, and achieves new state-of-the-art results on a range of abstractive dialogue, question answering, and summarization tasks.",1,This approach generalizes the original word masking and next sentence prediction objectives in BERT by forcing the model to reason more about overall sentence length and make longer range transformations to the input.,1,,,
,BART also opens up new ways of thinking about fine tuning.,1,BART is particularly effective when fine tuned for text generation but also works well for comprehension tasks.,1,,,
,We present a new scheme for machine translation where a BART model is stacked above a few additional transformer layers.,1,"It matches the performance of RoBERTa with comparable training resources on GLUE and SQuAD, and achieves new state-of-the-art results on a range of abstractive dialogue, question answering, and summarization tasks.",1,,,
,We use a bidirectional encoder to encode the next sentence and use a mask token to replace the spans of the text.,0,BART also opens up new ways of thinking about fine tuning.,1,,,
,,,"BART is also a new scheme for thinking about fine tuning, and achieves state-of-art results on abstractive dialogue, Question answering, and summarisation tasks.",0,,,
,,,BART achieves state-Of-the-art,0,,,
2020.acl-main.747.pdf,"We present XLM-R, a transformer-based multilingual masked language model pre-trained on text in 100 languages, which obtains state-of-the-art performance on cross-lingual classification, sequence labeling and question answering.",1,"This paper presents a comprehensive analysis of the trade-off between high-resource and low-resource languages, and the impact of language sampling and vocabulary size.",1,This paper presents a comprehensive analysis of the tradeoff between high-resource and low-resource languages and the impact of language sampling and vocabulary size.,1,
,"We first show that the trade-off between high-resource and low-resource languages is a tradeoff between high- resource and low-reresource languages, and show that it can be alleviated by simply increasing model capacity.",1,"The experiments expose a trade-off between higher-resource and lower-resource languages and the impact of word sampling and vocabulary size, and show that it can be alleviated by simply increasing model capacity.",1,"The authors show that the tradeoff between higher-resource and high-resource languages is a curse of multilinguality, and propose a new model XLM-RoBERTa, which is a transformer-based multilingual masked language model.",1,
,"We also evaluate monolingual fine tuning on the GLUE and XNLI benchmarks, where XLM-RR achieves performance competitive with state-of-art monolingual models, including RoBERTa.",1,"We also evaluate monolingual fine tuning on the GLUE and XNLI benchmarks, where XLM-R outperforms mBERTa on cross-lingual classification by up to 23 % accuracy on low-resource language.",0,The authors also show that the proposed model can be used to improve the performance of the existing state-of-the-art multilingual models.,0,
,We show that the tradeoff between high resource and low-Resource languages is bounded by increasing model capacity.,0,"We also evaluate the monolingual fine tuning of XLM-r on the GLEU and XNLi benchmarks, where we obtain results competitive with state-of-the-art monolingual models.",1,The authors also propose a new benchmark for cross-lingual NLP and cross-lingual Question Answering.,0,
,"We present XLM-R, a transformer-based multilingual masked language model pre-trained on text in 100 languages, which obtains state-of-the-art performance on cross-lingual classification, sequence labeling and question answering.",1,"This paper presents a comprehensive analysis of the trade-off between high-resource and low-resource languages, and the impact of language sampling and vocabulary size.",1,This paper presents a comprehensive analysis of the tradeoff between high-resource and low-resource languages and the impact of language sampling and vocabulary size.,1,
,"We first show that the trade-off between high-resource and low-resource languages is a tradeoff between high- resource and low-reresource languages, and show that it can be alleviated by simply increasing model capacity.",1,"The experiments expose a trade-off between higher-resource and lower-resource languages and the impact of word sampling and vocabulary size, and show that it can be alleviated by simply increasing model capacity.",1,"The authors show that the tradeoff between higher-resource and high-resource languages is a curse of multilinguality, and propose a new model XLM-RoBERTa, which is a transformer-based multilingual masked language model.",1,
,"We also evaluate monolingual fine tuning on the GLUE and XNLI benchmarks, where XLM-RR achieves performance competitive with state-of-art monolingual models, including RoBERTa.",0,"We also evaluate monolingual fine tuning on the GLUE and XNLI benchmarks, where XLM-R outperforms mBERTa on cross-lingual classification by up to 23 % accuracy on low-resource language.",0,The authors also show that the proposed model can be used to improve the performance of the existing state-of-the-art multilingual models.,0,
,We show that the tradeoff between high resource and low-Resource languages is bounded by increasing model capacity.,0,"We also evaluate the monolingual fine tuning of XLM-r on the GLEU and XNLi benchmarks, where we obtain results competitive with state-of-the-art monolingual models.",1,The authors also propose a new benchmark for cross-lingual NLP and cross-lingual Question Answering.,0,
2020.emnlp-demos.6.pdf,This paper presents a library of pre-trained NLP models for natural language processing.,1,This paper presents a library of pre-trained NLP models for natural language processing.,1,This paper introduces a new library called 'Target' for storing and storing pre-trained models.,0,
,The library supports the distribution and usage of a wide variety of pre-tuned models in a centralized model hub.,1,The library supports the distribution and usage of a wide variety of pretrained models in a centralized model hub.,1,"The library is built on top of the tensor2tensor library, which is a repository of popular models for NLP tasks.",0,
,This library supports the distribution of pre-tailed models in a central model hub.,0,"This library supports the distribution of a wide-variety of pretrained models, including models from Marian NMT and Google's BERT.",1,"The library is a repository for NLP tasks, and is a repository that supports the distribution and usage of pre-trained model models.",1,
,This repository supports the distribution and use of a wide range of pre-tried models in a large-variety of pre-teaching models in a comprehensive and centralized model library.,0,"The library supports easy download, caching, and fine-tuning of the models as well as seamlessly transition to production.",1,"The library contains a variety of popular models, including BERT, Open-NMT, Texar, Megatron-LM, and Marian NMT.",1,
,The library supports both research and deployment of a wide-variety of pretrained models in a single package.,1,The library is released under the Apache 2.0 license and is available on GitHub.,1,The library is open-sourced and is open-sourced for NLP tasks and NLP tasks.,1,
,"This library supports both research, analysis, and deployment of arbitrary pre-trained models in centralized model hubs.",0,The library is a repository of pre-tuned NLP models.,0,,,
,"This library supports easy download, caching, and fine-tuning of the models as well as seamlessly transition to production.",1,The library is designed to support the distribution and usage a wide variety  of pretrained models.,1,,,
,The library is released under the Apache 2.0 license and is available on GitHub.,1,The library supports both research and production.,1,,,
,The library is designed to support the distribution and usage a wide-variance of pre-tened models in a distributed model hub.,1,"The library supports industrial-strength implementations of popular model variants that are easy to read, extend, and compress.",1,,,
,This hub supports users to compare different models with the same minimal API and to experiment with shared models on a variety of different tasks.,1,The library supports users to compare different models with the same minimal API and to experiment with shared models on a variety of different tasks.,1,,,
,"The library is built on top of the tensor2tensor library, which is also closely related to neural translation and language modeling systems.",0,The library is built on top of the tensor2tensor library.,0,,,
,The library supports a wide variety a wide variety (and often large,0,The library is open source and easy to use.,1,,,
,This paper presents a library of pre-trained Transformer models for both natural language understanding and natural language generation.,1,This paper presents a library of pre-trained NLP models for both natural language understanding and natural language generation.,1,This paper introduces a new library called 'Target' for storing and storing pre-trained models.,0,
,The library supports the distribution and usage of a wide variety of pre-tuned models in a centralized model hub.,0,The library supports the distribution and usage of a wide variety of pretrained models in a centralized model hub.,1,"The library is built on top of the tensor2tensor library, which is a repository of popular models for NLP tasks.",0,
,This library supports the distribution of pre-tailed models in a central model hub.,0,"This library supports the distribution of a wide-variety of pretrained models, including models from Marian NMT and Google's BERT.",1,"The library is a repository for NLP tasks, and is a repository that supports the distribution and usage of pre-trained model models.",1,
,This repository supports the distribution and use of a wide range of pre-tried models in a large-variety of pre-teaching models in a comprehensive and centralized model library.,0,"The library supports easy download, caching, and fine-tuning of the models as well as seamlessly transition to production.",1,"The library contains a variety of popular models, including BERT, Open-NMT, Texar, Megatron-LM, and Marian NMT.",1,
,The library supports both research and deployment of a wide-variety of pretrained models in a single package.,1,The library is released under the Apache 2.0 license and is available on GitHub.,1,The library is open-sourced and is open-sourced for NLP tasks and NLP tasks.,1,
,"This library supports both research, analysis, scale, and augment the model on a variety of platforms.",1,The library is a repository of pre-tuned NLP models.,0,,,
,"The library supports industrial-strength implementations of popular model variants that are easy to read, extend, and deploy.",1,The library is designed to support the distribution and usage a wide variety  of pretrained models.,1,,,
,"On this foundation, the library supports the distribution, and usage of arbitrary pre-trained models in centralized model hub, which supports users to compare different models with the same minimal API and to experiment with shared models on a variety different tasks.",1,The library supports both research and production.,1,,,
,Transformers is an ongoing effort maintained by the team of engineers and researchers at Hugging Face with support from a vibrant community of over 400 external contributors.,1,"The library supports industrial-strength implementations of popular model variants that are easy to read, extend, and compress.",1,,,
,The library is released under the Apache 2.0 license and is available on GitHub.,1,The library supports users to compare different models with the same minimal API and to experiment with shared models on a variety of different tasks.,1,,,
,The Transformers library is designed to support Transformer-based architectures and facilitating the distribution,0,The library is built on top of the tensor2tensor library.,0,,,
,,,The library is open source and easy to use.,1,,,
N18-1101.pdf,"This paper introduces a new dataset, MultiGenre NLI, which is a new benchmark for natural language inference.",1,"This paper introduces a new dataset, MultiGenre NLI, which is a new benchmark for natural language inference.",1,"This paper introduces a new dataset, MultiNLI, for NLI evaluations.",1,
,"The dataset is based on the Stanford NLI corpus, which is the only large human-annotated corpus for NLI.",0,"The dataset is based on the Stanford NLI corpus, which is based on a large-scale NLI evaluation.",0,"The dataset is based on the Stanford NLI corpus, which is a large human-annotated corpus.",0,
,The dataset is designed to be able to run large-scale NLI evaluations that capture more of the complexity of modern English.,0,The dataset is designed to be able to run large-scale N LI evaluations that capture more of the natural language understanding (NLU) process.,0,"The dataset is designed to be able to run large-scale NLI evaluations, which is based on a large-scale NSL evaluation task.",0,
,"The dataset is built on top of the Stanford NLI Corpus, which is based on a large-scale NLP task.",0,The dataset is also used to evaluate the performance of a number of NLI models.,1,"The dataset is built on top of the Stanford NLI dataset, which is modeled closely on the Stanford NSL corpus.",0,
,The dataset is used to evaluate the performance of a number of NLI models on a variety of NLI tasks.,1,The dataset is used to evaluate the best performance of a few NLI models.,0,"The paper also introduces a dataset called MultiNLI, which is adapted from the Stanford NLI data set to provide a large-sized dataset for NLI evaluation.",0,
,The dataset is also used to evaluate the quality of the representations learned by the models.,1,,,The dataset is used to evaluate NLI evaluations on NLI tasks.,0,
,"We present a new dataset called MultiGenre N LI, which is aimed at evaluating the performance of ML models on NLI tasks.",1,,,,,
,"This paper introduces a new dataset, MultiGenre NLI Corpus (MultiNLI), which is a large-scale NLI evaluation dataset for NLI.",1,"This paper introduces a new dataset, MultiGenre NLI, to evaluate the performance of NLI models.",1,"This paper introduces a new dataset, MultiNLI, for NLI evaluations.",1,
,"The dataset is based on the Stanford NLI Corpus, which is a very large human-annotated corpus for NLI.",0,"The dataset is based on the Stanford NLI Corpus, which is a large human-annotated corpus for NLI.",0,"The dataset is based on the Stanford NLI corpus, which is a large human-annotated corpus.",0,
,"This dataset is a good source of information for NLI research, and is a good starting point for future research on NLI.",1,The dataset is designed to be able to run large-scale NLI evaluations that capture more of the complexity of modern English.,0,"The dataset is designed to be able to run large-scale NLI evaluations, which is based on a large-scale NSL evaluation task.",0,
,"We present a new dataset called MultiGenre N LI Corpus (MultiNLI), which is based on a large-sized dataset of NLI evaluations.",0,"The dataset is used to evaluate the performance on NLI tasks, and the authors present a new benchmark dataset, MultiNLI, which is based on a large-scale N LI evaluation.",0,"The dataset is built on top of the Stanford NLI dataset, which is modeled closely on the Stanford NSL corpus.",0,
,"We present supervised learning methods for NLI evaluations, and show that the multiGenre NLI corpus can be used to evaluate NLI models on a large scale NLI evaluation dataset.",0,The dataset is also used to evaluate the model performance on NLI benchmarks.,1,"The paper also introduces a dataset called MultiNLI, which is adapted from the Stanford NLI data set to provide a large-sized dataset for NLI evaluation.",0,
,,,,,The dataset is used to evaluate NLI evaluations on NLI tasks.,0,
N18-1202.pdf,"We present a new type of contextualized word representation that directly addresses both challenges, can be easily integrated into existing NLP models, and significantly improves the state of the art in every considered case across a range of challenging language understanding problems.",1,"This paper introduces a new type of contextualized word representation that directly addresses both challenges, can be easily integrated into existing NLP models, and significantly improves the state of the art in every considered case across a range of challenging language understanding problems.",1,"This paper introduces ELMo, a new method for learning contextualized word representations.",1,
,Our representations differ from traditional word type embeddings in that each token is assigned a representation that is a function of the entire input sentence.,1,Our representations differ from traditional word type embeddings in that each token is assigned a representation that is a function of the entire input sentence.,1,"The method is based on a bidirectional LSTM model, which is trained with a LM objective.",1,
,We use vectors derived from a bidirectional LSTM that is trained with a coupled lan-guage model (LM) objective on a large text corpus.,1,We use vectors derived from a bidirectional LSTM that is trained with a coupled lan-guage model (LM) objective on a large text corpus.,1,"The authors show that the proposed method can be applied to existing models for textual entailment, question answering and sentiment analysis.",1,
,"For this reason, we call them ELMo (Embeddings from Language Models) representations.",1,"For this reason, ELMo representations are deep, in the sense that they are a function of all of the internal layers of the biLM.",1,"Experiments on textual entitlement, question answering, and sentiment analysis show that the proposed approach outperforms the baselines.",0,
,"Using intrinsic evaluations, we show that the higher-level LSTM states capture context-dependent aspects of word meaning, and lower-level states model aspects of syntax (e.g., they can be used to do part-of-speech tagging).",1,Combining the internal states in this manner allows for very rich word representations.,1,,,
,"Simultaneously exposing all these signals is highly beneficial, allowing the learned models to select the types of semi-supervision that are most useful for each end task.",1,"Using intrinsic evaluations, we show that the higher-level LSTM states capture context-dependent aspects of word meaning, and lower-level states model aspects of syntax.",1,,,
,Experiments demonstrate that ELMo representations outperform those derived from just the top layer of an LSTM.,1,"Simultaneously exposing all these signals is highly beneficial, allowing the learned models to select the types of semi-supervision that are most useful for each end task.",1,,,
,"We use a bidirectional language model to learn word vectors, and use a bi-directional LSTM to learn word vector representations.",0,"Experiments demonstrate that ELMo representation improves the state-of-the-art in all cases, including up to 20 % relative error reductions.",1,,,
,,,We use a bidirectional language model to learn word vectors.,1,,,
,"We present a new type of contextualized word representation that directly addresses both challenges, can be easily integrated into existing NLP models, and significantly improves the state of the art in every considered case across a range of challenging language understanding problems.",1,"This paper introduces a new type of contextualized word representation that directly addresses both challenges, can be easily integrated into existing NLP models, and significantly improves the state of the art in every considered case across a range of challenging language understanding problems.",1,"This paper introduces ELMo, a new method for learning contextualized word representations.",1,
,Our representations differ from traditional word type embeddings in that each token is assigned a representation that is a function of the entire input sentence.,1,Our representations differ from traditional word type embeddings in that each token is assigned a representation that is a function of the entire input sentence.,1,"The method is based on a bidirectional LSTM model, which is trained with a LM objective.",1,
,We use vectors derived from a bidirectional LSTM that is trained with a coupled lan-guage model (LM) objective on a large text corpus.,1,We use vectors derived from a bidirectional LSTM that is trained with a coupled lan-guage model (LM) objective on a large text corpus.,1,"The authors show that the proposed method can be applied to existing models for textual entailment, question answering and sentiment analysis.",1,
,"For this reason, we call them ELMo (Embeddings from Language Models) representations.",1,"For this reason, ELMo representations are deep, in the sense that they are a function of all of the internal layers of the biLM.",1,"Experiments on textual entitlement, question answering, and sentiment analysis show that the proposed approach outperforms the baselines.",0,
,"Using intrinsic evaluations, we show that the higher-level LSTM states capture context-dependent aspects of word meaning, and lower-level states model aspects of syntax (e.g., they can be used to do part-of-speech tagging).",1,Combining the internal states in this manner allows for very rich word representations.,1,,,
,"Simultaneously exposing all these signals is highly beneficial, allowing the learned models to select the types of semi-supervision that are most useful for each end task.",1,"Using intrinsic evaluations, we show that the higher-level LSTM states capture context-dependent aspects of word meaning, and lower-level states model aspects of syntax.",1,,,
,Experiments demonstrate that ELMo representations outperform those derived from just the top layer of an LSTM.,1,"Simultaneously exposing all these signals is highly beneficial, allowing the learned models to select the types of semi-supervision that are most useful for each end task.",1,,,
,"We use a bidirectional language model to learn word vectors, and use a bi-directional LSTM to learn word vector representations.",0,"Experiments demonstrate that ELMo representation improves the state-of-the-art in all cases, including up to 20 % relative error reductions.",1,,,
,,,We use a bidirectional language model to learn word vectors.,1,,,
N19-1423.pdf,We present a new pre-training method for language representations.,1,This paper presents a new pre-training method for language representations.,1,This paper proposes a new method for pre-training language representations.,1,
,"The method is inspired by the Cloze task, which is a task-specific task that requires pre-trained language models to perform well.",0,"The method is inspired by the Cloze task, which is a task-specific task.",0,The proposed method is based on a masked language model (MLM) pre-training objective.,1,
,"The method is based on a masked language model, which randomly masks some of the tokens from the input, and the objective is to predict the original vocabulary id of the masked word based only on its context.",1,"The method is based on a masked language model, which is masked with a mused context mask.",0,The masked language models are used to predict the original vocabulary id of the masked word.,0,
,"The method is evaluated on a large suite of sentence-level and token-level tasks, outperforming many task-specific architectures.",1,"The method is evaluated on a large suite of sentence-level and token-level tasks, outperforming many task-specific architectures.",1,The authors show that the proposed method can achieve state-of-the-art performance on a range of tasks.,1,
,We show that the pre-trained representations reduce the need for many heavily-engineered task-specific architecture.,1,The method achieves state-of-the-art performance on a large set of NLP tasks.,1,,,
,"We propose a bidirectional encoder representation model that is able to achieve state-of-the-art performance on a large set of sentence-level tasks, and outperforms many task-specific baselines.",1,The method is also evaluated on a few NLP tasks.,0,,,
,We present a new fine-tuning based approach for language representations.,0,This paper presents a new fine-tuning based approach for language representations.,0,This paper proposes a new method for pre-training language representations.,1,
,"The approach is based on a masked language model (MLM) pre-training objective, inspired by the Cloze task.",1,"The approach is based on a masked language model (MLM) pre-training objective, inspired by the Cloze task.",1,The proposed method is based on a masked language model (MLM) pre-training objective.,1,
,"The MLM objective is a combination of the left and right contexts, which allows the model to fuse the left and right contextual contexts.",1,"The MLM objective is a combination of the left and right contexts, which allows the model to fuse the left and right contextual contexts.",1,The masked language models are used to predict the original vocabulary id of the masked word.,0,
,The MLM pre-training objective is a mailed language model pre-training objective.,0,"The approach achieves state-of-the-art performance on a large suite of sentence-level and token-level tasks, outperforming many task-specific architectures.",1,The authors show that the proposed method can achieve state-of-the-art performance on a range of tasks.,1,
,"In addition to the masked language modeling objective, we also use a next sentence prediction task that jointly pretrains text-pair representations.",1,The paper also presents a next sentence prediction task that jointly pretrains text-pair representations.,1,,,
,We show that the pre-trained representations reduce the need for many heavily-engineered task-specific architectures.,1,The results show that the proposed approach achieves state of the art performance on a wide suite of sentence-based and token-level NLP tasks.,1,,,
,We use a bidirectional language model to pretrain a bidirectional encoder representation.,0,,,,,
N19-4009.pdf,"Neural sequence-to-sequence models have been successful on a variety of text generation tasks, including machine translation, abstractive document summarization, and language modeling.",1,"Neural sequence-to-sequence models have been successful on a variety of text generation tasks, including machine translation, abstractive document summarization, and language modeling.",1,This paper presents a new toolkit for a sequence modeling toolkit.,1,
,"In this paper, we present FAIRSEQ, a sequence modeling toolkit written in PyTorch that is fast, extensible, and useful for both research and production.",1,"In this paper, we present FAIRSEQ, a sequence modeling toolkit written in PyTorch that is fast, extensible, and useful for both research and production.",1,The key idea is to extend the baseFairseq model to a common interface between models and tasks.,0,
,FAIRSEQ features: i) a common interface across models and tasks that can be extended with user-supplied plug-ins; ii) efficient distributed and mixed precision training; enabling training over datasets with hundreds of millions of sentences on current hardware; iii) efficient distribution and mixed precision training.,1,FAIRSEQ features: i) a common interface across models and tasks that can be extended with user-supplied plug-ins; ii) efficient distributed and mixed precision training; enabling training over datasets with hundreds of millions of sentences on current hardware; iii) efficient distribution and mixed precision training.,1,The key idea of the paper is to extend the BaseFairsequence model to a shared interface between models and task.,0,
